platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gameboy Advance,007: Everything or Nothing,"Electronic Arts, Inc.","Griptonite, Inc.","Nov 17, 2003","Action, Racing / Driving",Diagonal-down,Isometric,,,,,0,,"[82.0, 81.0, 80.0, 80.0, 71.0, 70.0, 70.0, 60.0, 40.0, 30.0]",10,66.4
Gameboy Advance,007: Nightfire,"Electronic Arts, Inc.","JV Games, Inc.","Mar 28, 2003",Action,1st-person,,,Shooter,,,0,,"[88.0, 80.0, 80.0, 75.0, 71.0, 70.0, 70.0, 70.0, 65.0, 65.0]",10,73.4
Gameboy Advance,2 Disney Games: Disney's Lilo & Stitch 2 + Disney's Peter Pan: Return to Never Land,"Buena Vista Games, Inc.",,"Nov 11, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Cartoon Network Block Party & Cartoon Network Speedway,"Majesco Sales, Inc.",,"Apr 25, 2005",Compilation,,,,,,,0,,[26.0],1,26.0
Gameboy Advance,2 Games in 1: Columns Crown + ChuChu Rocket!,THQ Inc.,,2005,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Disney Princess + Disney's The Lion King,THQ Inc.,,2004,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Disney's Bärenbrüder + Disney's Konig der Lowen,THQ Entertainment GmbH,,2005,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Disney's Brother Bear + Disney Princess,THQ (UK) Limited,,2005,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Pack: Hot Wheels: World Race / Hot Wheels: Velocity X,THQ Inc.,,"Sep 08, 2006",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Pack: Scooby-Doo and the Cyber Chase / Scooby Doo!: Mystery Mayhem,THQ Inc.,,2005,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Pack: Scooby-Doo / Scooby-Doo 2: Monsters Unleashed,THQ Inc.,,"Aug 21, 2006",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Pack: Sonic Advance + ChuChu Rocket!,THQ Inc.,,2004,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Pack: SpongeBob SquarePants: SuperSponge / SpongeBob SquarePants: Revenge of the Flying Dutchman,THQ Inc.,,"Sep 08, 2006",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,THQ Inc.,,"Feb 27, 2007",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Value! Golden Nugget Casino / Texas Hold 'Em Poker,"Majesco Sales, Inc.",,"Mar 31, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1 Double Value!: Monster Trucks / Quad Desert Fury,"Majesco Sales, Inc.",,"Mar 31, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Finding Nemo / The Incredibles,THQ Inc.,,2005,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: GT 3 Advance: Pro Concept Racing + Moto GP: Ultimate Racing Technology,THQ Inc.,,2004,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: LEGO Knights' Kingdom + Bionicle,THQ Entertainment GmbH,,"May 27, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Power Rangers: Time Force / Power Rangers: Ninja Storm,THQ Inc.,,"Mar 24, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Sonic Advance + Sonic Battle,THQ Entertainment GmbH,,2004,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: Sonic Pinball Party + Sonic Battle,THQ Entertainment GmbH,,"Nov 16, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: SpongeBob SquarePants - Battle for Bikini Bottom + SpongeBob SquarePants - Supersponge,THQ Inc.,,2004,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 Games in 1: SpongeBob SquarePants: SuperSponge + Rugrats Go Wild,THQ Inc.,,2004,Compilation,,,,,,,0,,,0,
Gameboy Advance,2 in 1: DreamWorks Shark Tale + Shrek 2,"Activision Publishing, Inc.",,"Aug 30, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2-In-1 Fun Pack: Dreamworks Madagascar: Operation Penguin / Dreamworks Shrek 2,"Activision Publishing, Inc.",,"Aug 29, 2006",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 in 1 Game Pack: Spider-Man: Mysterio's Menace / X2: Wolverine's Revenge,"Activision Publishing, Inc.",,"Aug, 2005",Compilation,,,,,,,0,,,0,
Gameboy Advance,2 in 1: V-Rally 3 + Stuntman,Atari Europe S.A.S.U.,,"Jun 23, 2005",Compilation,,,,,,,0,,[68.0],1,68.0
Gameboy Advance,2 jeux en 1: Titeuf: Ze Gag Machine / Titeuf: Méga compet',Atari Europe S.A.S.U.,,2005,Compilation,,,,,,,0,,,0,
Gameboy Advance,3 Games in 1: Tak and the Power of Juju / SpongeBob SquarePants: SuperSponge / Rugrats: I Gotta Go Party,THQ Inc.,,2005,Compilation,,,,,,,0,,,0,
Gameboy Advance,Ace Combat Advance,Namco Hometek Inc.,Human Soft Inc.,"Feb, 2005",Action,Top-down,,,"Arcade, Shooter",,,0,,"[90.0, 60.0, 58.0, 56.0, 50.0, 50.0, 50.0, 45.0, 40.0, 40.0]",10,53.9
Gameboy Advance,Ace Lightning,BBC Multimedia,Tiertex Design Studios,2002,Action,"Side view, Top-down",,,"Platform, Shooter",,,0,,"[60.0, 40.0]",2,50.0
Gameboy Advance,Action Man: Robot Atak,Atari Europe S.A.S.U.,Magic Pockets SAS,2004,Action,"Behind view, Side view",,,Platform,,,0,,[74.0],1,74.0
Gameboy Advance,Activision Anthology,"Aspyr Media, Inc.",,"Dec 08, 2003",Compilation,,,,,,,0,,"[100.0, 85.0, 85.0, 82.0, 80.0, 80.0, 80.0, 75.0]",8,83.375
Gameboy Advance,Advance Guardian Heroes,"Ubisoft, Inc.","Treasure Co., Ltd.","Sep 14, 2004",Action,Side view,2D scrolling,,"Arcade, Beat 'em up / brawler",,,0,,"[80.0, 80.0, 70.0, 70.0, 69.0, 60.0, 50.0, 45.0, 40.0, 34.0]",10,59.8
Gameboy Advance,Advance Wars,Nintendo of America Inc.,"Intelligent Systems Co., Ltd.","Sep 10, 2001",Strategy,Diagonal-down,,,Turn-based strategy,,"[4.6, 3.8, 4.2]",3,4.199999999999999,"[100.0, 100.0, 100.0, 100.0, 95.0, 91.0, 90.0, 90.0, 90.0, 85.0]",10,94.1
Gameboy Advance,Advance Wars 2: Black Hole Rising,Nintendo of America Inc.,"Intelligent Systems Co., Ltd.","Jun 23, 2003",Strategy,Top-down,,,Turn-based strategy,,[5.0],1,5.0,"[95.0, 91.0, 90.0, 90.0, 90.0, 88.0, 88.0, 85.0, 80.0, 80.0]",10,87.7
Gameboy Advance,Adventure Island,"Nintendo Co., Ltd.","Hudson Soft Company, Ltd.","May 21, 2004",Action,Side view,2D scrolling,,"Arcade, Platform",,,0,,,0,
Gameboy Advance,Adventure of Tokyo DisneySEA,Konami Corporation,,"Nov 22, 2001","Action, Adventure",Side view,,,Cards / tiles,,,0,,,0,
Gameboy Advance,The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies,THQ Inc.,Tantalus Interactive Pty. Ltd.,"Sep 13, 2004",Action,Side view,2D scrolling,,"Platform, Puzzle elements",,,0,,[35.0],1,35.0
Gameboy Advance,The Adventures of Jimmy Neutron: Boy Genius Vs. Jimmy Negatron,THQ Inc.,Human Soft Inc.,"Sep 25, 2002",Action,Diagonal-down,,,,,,0,,"[67.0, 65.0, 60.0, 26.0]",4,54.5
Gameboy Advance,Aero the Acro-Bat,"Metro3D, Inc.",Iguana Entertainment Incorporated,"Jun 25, 2002",Action,Side view,2D scrolling,,Platform,,,0,,"[81.0, 80.0, 79.0, 73.0, 70.0, 50.0, 42.0]",7,67.85714285714286
Gameboy Advance,Agassi Tennis Generation,DreamCatcher Europe SA,Aqua Pacific Ltd.,"Dec 12, 2003",Sports,3rd-person (Other),Fixed / flip-screen,,,,,0,,,0,
Gameboy Advance,Agent Hugo: RoboRumble,ITE Media ApS (Interactive Television Entertainment),Program Ace,2006,"Action, Racing / Driving",Side view,2D scrolling,,Platform,,,0,,,0,
Gameboy Advance,Aggressive Inline,"Acclaim Entertainment, Inc.",Full Fat Productions Ltd.,"Aug 27, 2002",Sports,Diagonal-down,Isometric,,Tricks / stunts,,,0,,"[91.0, 88.0, 86.0, 78.0, 75.0, 72.0, 72.0, 71.0, 70.0, 67.0]",10,77.0
Gameboy Advance,AirForce Delta Storm,Konami Corporation,"Mobile21 Co., Ltd.","Aug 25, 2002",Action,Top-down,2D scrolling,,Shooter,,,0,,"[85.0, 73.0, 71.0, 68.0]",4,74.25
Gameboy Advance,Air Hockey-e,Nintendo of America Inc.,"Nintendo Co., Ltd.",2002,Action,,,,Paddle / Pong,,,0,,"[70.0, 60.0]",2,65.0
Gameboy Advance,Alex Rider: Stormbreaker,THQ Inc.,Razorback Developments Ltd,"Sep 25, 2006",Action,Top-down,,,Stealth,,,0,,"[47.0, 40.0, 40.0, 36.0, 36.0]",5,39.8
Gameboy Advance,Alienators: Evolution Continues,"Activision Publishing, Inc.","Digital Eclipse Software, Inc., Tuna Technologies Ltd.","Nov 07, 2001",Action,Side view,2D scrolling,,Shooter,,,0,,"[70.0, 70.0, 65.0, 65.0, 60.0]",5,66.0
Gameboy Advance,Alien Hominid,ZOO Digital Publishing Ltd.,"Behemoth, The","Feb 03, 2006",Action,Side view,2D scrolling,,Shooter,,,0,,"[100.0, 90.0, 85.0, 80.0, 80.0, 79.0]",6,85.66666666666667
Gameboy Advance,All Grown Up!: Express Yourself,THQ Inc.,Altron Corporation,"Oct 19, 2004",Action,3rd-person (Other),2D scrolling,,Mini-games,,[2.2],1,2.2,,0,
Gameboy Advance,All-Star Baseball 2003,"Acclaim Entertainment, Inc.",Software Creations Ltd.,"May 08, 2002",Sports,"3rd-person (Other), Diagonal-down",,,,,,0,,"[82.0, 82.0, 78.0, 73.0, 67.0]",5,76.4
Gameboy Advance,All-Star Baseball 2004,"Acclaim Entertainment, Inc.",Acclaim Studios Manchester,2003,Sports,"3rd-person (Other), Behind view, Diagonal-down","2D scrolling, Fixed / flip-screen",,,,,0,,,0,
Gameboy Advance,Altered Beast: Guardian of the Realms,THQ Inc.,"3d6 Games, Inc.","Nov 25, 2002",Action,Side view,2D scrolling,,"Arcade, Beat 'em up / brawler",,,0,,"[75.0, 70.0, 70.0, 70.0, 60.0, 60.0, 54.0, 50.0, 40.0, 30.0]",10,57.9
Gameboy Advance,The Amazing Virtual Sea-Monkeys,Conspiracy Entertainment Corp.,Elo Interactive Media GmbH,2002,Action,Side view,,,Puzzle elements,,,0,,[79.0],1,79.0
Gameboy Advance,American Bass Challenge,Ubi Soft Entertainment Ltd.,Starfish Inc.,"Dec, 2001",Sports,Top-down,,,,,,0,,"[80.0, 78.0, 70.0, 68.0, 65.0, 61.0, 60.0]",7,68.85714285714286
Gameboy Advance,American Idol,"Codemasters Software Company Limited, The",Möbius Entertainment Ltd.,"Nov 18, 2003",Action,3rd-person (Other),,,"Game show / trivia / quiz, Music / rhythm",,,0,,"[65.0, 48.0, 30.0, 10.0]",4,38.25
Gameboy Advance,An American Tail: Fievel's Gold Rush,Swing! Entertainment Media AG,Hokus Pokus,2001,Action,Side view,,,,,[4.6],1,4.6,"[65.0, 64.0, 55.0, 50.0]",4,58.5
Gameboy Advance,Angel Collection 2: Pichimo ni Narō,"Gakken Co., Ltd.","MTO Co., Ltd.","Sep 22, 2004",Simulation,Top-down,,Anime / Manga,Life / social simulation,,,0,,,0,
Gameboy Advance,Angel Collection: Mezase! Gakuen no Fashion Leader,"Gakken Co., Ltd.","MTO Co., Ltd.","Apr 18, 2003",Simulation,Top-down,,Anime / Manga,Life / social simulation,,,0,,,0,
Gameboy Advance,Animal Snap: Rescue Them 2 by 2,Ignition Entertainment Ltd.,Ignition Entertainment Ltd.,2002,"Action, Puzzle",,Fixed / flip-screen,,"Cards / tiles, Tile matching puzzle",,,0,,,0,
Gameboy Advance,"Animaniacs: Lights, Camera, Action!",Ignition Entertainment Ltd.,Warthog Sweden,"Aug 12, 2005",Action,Diagonal-down,Isometric,,"Music / rhythm, Platform, Puzzle elements",,,0,,"[71.0, 60.0, 60.0, 56.0, 50.0, 50.0, 50.0, 50.0, 45.0, 35.0]",10,52.7
Gameboy Advance,The Ant Bully,"Midway Home Entertainment, Inc.",Artificial Mind & Movement,"Jul 24, 2006",Action,Diagonal-down,2D scrolling,,Puzzle elements,,,0,,,0,
Gameboy Advance,Antz Extreme Racing,Empire Interactive Entertainment,Magic Pockets SAS,"Oct 22, 2002",Racing / Driving,Behind view,,,Arcade,,,0,,"[75.0, 57.0, 55.0]",3,62.333333333333336
Gameboy Advance,Archer Maclean's Pool,Ignition Entertainment Ltd. USA,,2005,Sports,1st-person,,,,,,0,,,0,
Gameboy Advance,Arctic Tale,"Destination Software, Inc.",Atomic Planet Entertainment Limited,"Oct, 2007",Action,Top-down,,,,,,0,,[30.0],1,30.0
Gameboy Advance,Army Men: Advance,"3DO Company, The","DC Studios, Inc.","Aug 11, 2001",Strategy,Diagonal-down,Isometric,,Shooter,,,0,,"[73.0, 70.0, 65.0, 62.0, 60.0, 55.0, 50.0, 45.0, 44.0, 20.0]",10,54.4
Gameboy Advance,Army Men: Operation Green,"3DO Company, The",Pocket Studios,"Dec 10, 2001",Action,Diagonal-down,Isometric,,Shooter,,,0,,"[75.0, 70.0, 66.0, 62.0, 60.0, 40.0]",6,62.166666666666664
Gameboy Advance,Around the World in 80 Days,Hip Games,"Saffire, Inc","Oct 29, 2004",Action,Side view,2D scrolling,,Platform,,,0,,,0,
