platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gamecube,007: Agent Under Fire,"Electronic Arts, Inc.","Electronic Arts Canada, Electronic Arts Redwood Shores Studio","Mar 12, 2002",Action,1st-person,,,Shooter,,,0,,"[83.0, 80.0, 79.0, 77.0, 72.0, 70.0, 70.0, 65.0, 65.0, 50.0]",10,71.1
Gamecube,007: Everything or Nothing,"Electronic Arts, Inc.",Electronic Arts Redwood Shores Studio,"Feb 17, 2004",Action,Behind view,,,Shooter,,,0,,"[90.0, 88.0, 85.0, 85.0, 85.0, 84.0, 84.0, 83.0, 80.0, 70.0]",10,83.4
Gamecube,007: From Russia with Love,"Electronic Arts, Inc.",Electronic Arts Redwood Shores Studio,"Nov 15, 2005","Action, Racing / Driving",Behind view,,,Shooter,,,0,,"[86.0, 83.0, 79.0, 78.0, 78.0, 75.0, 75.0, 70.0, 65.0, 60.0]",10,74.9
Gamecube,007: Nightfire,"Electronic Arts, Inc.","Eurocom Developments Ltd, Savage Entertainment, LLC","Nov 19, 2002","Action, Racing / Driving",Behind view,,,Shooter,,[4.29],1,4.29,"[90.0, 90.0, 85.0, 84.0, 81.0, 80.0, 80.0, 80.0, 79.0, 75.0]",10,82.4
Gamecube,1080° Avalanche,Nintendo of America Inc.,Nintendo Software Technology Corporation,"Dec 01, 2003",Sports,Behind view,,,Tricks / stunts,,,0,,"[90.0, 83.0, 81.0, 80.0, 67.0, 60.0, 60.0, 60.0, 58.0, 50.0]",10,68.9
Gamecube,2002 FIFA World Cup,"Electronic Arts, Inc.","Electronic Arts Canada, Intelligent Games Ltd, Software Creations Ltd.","Apr 23, 2002",Sports,Diagonal-down,,,,,,0,,"[85.0, 82.0, 80.0, 78.0, 75.0, 74.0, 71.0, 71.0, 67.0, 30.0]",10,71.3
Gamecube,4x4 Evo 2,Universal Interactive Inc.,"Terminal Reality, Inc.","Sep 10, 2002","Racing / Driving, Sports","1st-person, Behind view",,,,,,0,,"[80.0, 68.0, 65.0, 55.0, 53.0, 52.0, 48.0, 40.0]",8,57.625
Gamecube,The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies,THQ Inc.,THQ Australia Studios Pty Ltd.,"Sep 13, 2004",Action,Behind view,,,Puzzle elements,,,0,,"[79.0, 70.0, 70.0, 68.0, 65.0, 60.0]",6,68.66666666666667
Gamecube,The Adventures of Jimmy Neutron: Boy Genius - Jet Fusion,THQ Inc.,Krome Studios Pty Ltd.,"Sep 16, 2003",Action,"3rd-person (Other), Behind view",Free-roaming camera,,"Platform, Shooter",,,0,,"[70.0, 65.0, 61.0]",3,65.33333333333333
Gamecube,Aggressive Inline,"Acclaim Entertainment, Inc.","Z-Axis, Ltd.","Aug 04, 2002",Sports,Behind view,,,Tricks / stunts,,,0,,"[97.0, 92.0, 91.0, 90.0, 90.0, 90.0, 85.0, 80.0, 80.0, 70.0]",10,86.5
Gamecube,Alien Hominid,O~3 Entertainment,"Behemoth, The","Nov 23, 2004",Action,Side view,2D scrolling,,Shooter,,,0,,"[90.0, 84.0, 83.0, 80.0, 80.0, 77.0, 70.0, 70.0, 67.0, 42.0]",10,74.3
Gamecube,All-Star Baseball 2002,"Acclaim Entertainment, Inc.",Acclaim Studios Austin,"Nov 18, 2001",Sports,Behind view,,,,,,0,,"[80.0, 78.0, 68.0, 67.0, 67.0, 65.0, 60.0, 58.0, 50.0, 45.0]",10,63.8
Gamecube,All-Star Baseball 2003,"Acclaim Entertainment, Inc.",Acclaim Studios Austin,"Feb 26, 2002",Sports,Behind view,,,,,,0,,"[97.0, 90.0, 90.0, 83.0, 80.0, 80.0, 76.0, 75.0, 70.0, 67.0]",10,80.8
Gamecube,All-Star Baseball 2004,"Acclaim Entertainment, Inc.",Acclaim Studios Austin,"Feb 27, 2003",Sports,,,,,,,0,,"[83.0, 83.0, 81.0, 80.0, 79.0, 77.0, 72.0, 70.0, 70.0, 58.0]",10,75.3
Gamecube,Amazing Island,"SEGA of America, Inc.",Ancient Co. Ltd.,"Aug 24, 2004",Action,Behind view,,,,,,0,,"[80.0, 72.0, 71.0, 70.0, 70.0, 65.0, 58.0, 50.0, 40.0, 33.0]",10,60.9
Gamecube,American Chopper 2: Full Throttle,"Activision Value Publishing, Inc.","Creat Studios, Inc.","Nov 08, 2005",Racing / Driving,Behind view,,,Arcade,,,0,,"[60.0, 48.0]",2,54.0
Gamecube,Animal Crossing,Nintendo of America Inc.,Nintendo EAD,"Sep 16, 2002",Simulation,Diagonal-down,,,Life / social simulation,,"[2.8, 5.0, 4.2, 2.6, 4.4, 4.6]",6,3.9333333333333336,"[90.0, 90.0, 90.0, 86.0, 85.0, 85.0, 83.0, 80.0, 74.0, 64.0]",10,82.7
Gamecube,Animaniacs: The Great Edgar Hunt,Ignition Entertainment Ltd. USA,Warthog Plc,"Sep 14, 2005",Action,3rd-person (Other),,,"Platform, Puzzle elements",,[4.0],1,4.0,"[75.0, 71.0, 70.0, 70.0, 70.0, 65.0, 62.0, 55.0, 50.0, 40.0]",10,62.8
Gamecube,The Ant Bully,"Midway Home Entertainment, Inc.",Artificial Mind & Movement,"Jul 24, 2006",Action,Behind view,,,,,,0,,"[69.0, 68.0, 65.0, 60.0, 57.0, 55.0, 55.0, 55.0, 48.0, 43.0]",10,57.5
Gamecube,Aquaman: Battle for Atlantis,"TDK Mediactive, Inc.","Lucky Chicken Games, Inc.","Jul 28, 2003",Action,"1st-person, 3rd-person (Other)",,,Arcade,,,0,,"[50.0, 30.0, 30.0, 26.0, 23.0, 20.0, 19.0, 14.0, 10.0, 0.0]",10,22.2
Gamecube,Archer Maclean Presents Pool Paradise,Ignition Entertainment Ltd.,Awesome Studios,"Jul 06, 2004",Sports,1st-person,,,,,,0,,"[90.0, 80.0, 80.0, 79.0, 77.0, 68.0, 66.0, 60.0, 60.0, 33.0]",10,69.3
Gamecube,Army Men: Air Attack 2,"3DO Company, The",Wide Games,"Mar 26, 2003",Action,3rd-person (Other),,,,,,0,,"[60.0, 58.0, 50.0, 40.0, 35.0, 28.0]",6,45.166666666666664
Gamecube,Army Men RTS,Global Star Software Inc.,Pandemic Studio Pty Ltd,"Nov 02, 2004",Strategy,Diagonal-down,,,Real-time strategy,,,0,,"[69.0, 50.0]",2,59.5
Gamecube,Army Men: Sarge's War,Global Star Software Inc.,"3DO Company, The","Sep, 2004",Action,3rd-person (Other),,,,,,0,,"[80.0, 72.0, 60.0, 55.0, 51.0]",5,63.6
Gamecube,Asterix and Obelix: Kick Buttix,Atari Europe S.A.S.U.,Étranges Libellules S.A.,"Jun 18, 2004","Action, Racing / Driving",Behind view,,,Puzzle elements,,,0,,"[69.0, 69.0, 68.0, 55.0, 50.0]",5,62.2
Gamecube,ATV: Quad Power Racing 2,"Acclaim Entertainment, Inc.",Climax (Brighton) Ltd,"Jan, 2003",Racing / Driving,Behind view,,,Arcade,,,0,,"[90.0, 89.0, 85.0, 82.0, 80.0, 75.0, 70.0, 68.0, 67.0, 65.0]",10,77.1
Gamecube,Auto Modellista,"Capcom Entertainment, Inc.",Capcom Production Studio 1,"Sep 30, 2003",Racing / Driving,,,Anime / Manga,Arcade,,,0,,"[80.0, 72.0, 70.0, 65.0, 62.0, 58.0, 55.0]",7,66.0
Gamecube,Avatar: The Last Airbender,THQ Inc.,THQ Australia Studios Pty Ltd.,"Oct 10, 2006",Action,Top-down,,Anime / Manga,"Puzzle elements, RPG elements",,[5.0],1,5.0,"[69.0, 67.0, 65.0, 60.0, 60.0, 59.0, 59.0, 55.0, 51.0, 40.0]",10,58.5
Gamecube,Backyard Baseball,"Infogrames, Inc.","Humongous Entertainment, Inc.","Apr 02, 2003",Sports,3rd-person (Other),,,,,,0,,"[78.0, 50.0]",2,64.0
Gamecube,Backyard Football,"Humongous Entertainment, Inc.","Left Field Productions, Inc.",2002,Sports,3rd-person (Other),,,,,,0,,"[80.0, 69.0, 56.0, 45.0]",4,62.5
Gamecube,Backyard Sports: Baseball 2007,"Humongous Entertainment, Inc.",GameBrains,"Apr, 2007",Sports,3rd-person (Other),,,,,,0,,[68.0],1,68.0
Gamecube,Bad Boys: Miami Takedown,Empire Interactive Europe Ltd.,Blitz Games Ltd,"Sep 21, 2004",Action,"1st-person, Behind view",,,Shooter,,,0,,"[78.0, 50.0, 50.0, 47.0, 47.0, 36.0, 35.0, 30.0, 29.0]",9,44.666666666666664
Gamecube,Baldur's Gate: Dark Alliance,Interplay Entertainment Corp.,"Snowblind Studios, Inc.","Nov 20, 2002",Role-playing (RPG),Diagonal-down,2D scrolling,,"Action RPG, Hack and slash",,[3.71],1,3.71,"[90.0, 86.0, 84.0, 80.0, 80.0, 80.0, 77.0, 76.0, 75.0, 70.0]",10,79.8
