platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
NES,10-Yard Fight,Nintendo of America Inc.,Irem Corp.,"Oct, 1985",Sports,Top-down,,,,,[2.2],1,2.2,"[50.0, 50.0, 40.0, 30.0, 30.0, 25.0, 20.0, 16.0, 16.0]",9,30.77777777777778
NES,1942,"Capcom U.S.A., Inc.","Capcom Co., Ltd.","Nov, 1986",Action,Top-down,2D scrolling,,"Arcade, Shooter",,"[1.75, 3.25]",2,2.5,"[80.0, 67.0, 60.0, 55.0, 50.0, 50.0, 40.0, 40.0, 30.0, 20.0]",10,49.2
NES,1943: The Battle of Midway,"Capcom U.S.A., Inc.","Capcom Co., Ltd.","Oct, 1988",Action,Top-down,2D scrolling,,"Arcade, Shooter",,[3.25],1,3.25,"[80.0, 80.0, 80.0, 80.0, 75.0, 75.0, 70.0, 60.0, 60.0, 56.0]",10,71.6
NES,1991 Du Ma Racing,Super Mega,"Idea-Tek, Inc.",1991,Sports,Side view,,,,,,0,,,0,
NES,"1999: Hore, Mita koto ka! Seikimatsu","Coconuts Japan Entertainment Co., Ltd.","Coconuts Japan Entertainment Co., Ltd.","Sep 18, 1992","Simulation, Strategy",Top-down,,Anime / Manga,Board game,,,0,,,0,
NES,19: Neunzehn,Soft Pro International,Soft Pro International,"Mar 04, 1988",Strategy,Top-down,,,,,,0,,,0,
NES,3-D WorldRunner,"Acclaim Entertainment, Inc.","Square Co., Ltd.","Sep, 1987",Action,Behind view,,,Arcade,,,0,,"[80.0, 78.0, 70.0, 67.0, 62.0, 60.0, 60.0, 60.0, 50.0, 45.0]",10,63.2
NES,4 Nin Uchi Mahjong,"Nintendo Co., Ltd.","Hudson Soft Company, Ltd.","Nov 02, 1984",Strategy,,,,Cards / tiles,,,0,,,0,
NES,6-in-1,"Myriad Games, Inc.",Megasoft,1992,"Action, Compilation, Puzzle","Behind view, Side view, Top-down",,,Shooter,,,0,,"[50.0, 20.0]",2,35.0
NES,720º,"Mindscape, Inc.",Atari Games Corporation,"Dec, 1989",Sports,Diagonal-down,,,"Arcade, Tricks / stunts",,,0,,"[80.0, 64.0, 60.0, 48.0, 35.0, 0.0]",6,47.833333333333336
NES,'89 Dennō Kyūsei Uranai,Induction Produce,Micronics,"Dec 10, 1988",Simulation,1st-person,,Anime / Manga,,,,0,,,0,
NES,8-Bit Collection: Culture Brain Vol. 1,Retro-Bit,"Micro Academy, Culture Brain Inc.","Sep 30, 2017","Action, Compilation, Role-playing (RPG)","Side view, Top-down",Isometric,,"Arcade, Fighting, RPG elements",,,0,,,0,
NES,8-Bit Collection: Data East Vol. 1,Retro-Bit,,"Feb 28, 2018",Compilation,,,,,,,0,,,0,
NES,8-Bit Collection: Jaleco Vol. 1,Retro-Bit,"Hect Co. Ltd., Jaleco Ltd., NMK Co. Ltd.","Sep 30, 2017",Compilation,,,,,,,0,,,0,
NES,8-Bit Collection: Jaleco Vol. 2,Retro-Bit,,"Feb 28, 2018",Compilation,,,,,,,0,,,0,
NES,8 Eyes,Taxan USA Corp.,Thinking Rabbit,"Jan, 1990",Action,Side view,2D scrolling,,Platform,,"[2.0, 2.5]",2,2.25,"[100.0, 86.0, 60.0, 58.0, 50.0, 42.0, 40.0, 25.0, 0.0]",9,51.22222222222222
