platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Nintendo DS,007: Blood Stone,"Activision Publishing, Inc.","n-Space, Inc.","Nov 02, 2010",Action,Behind view,,,"Shooter, Stealth",,,0,,"[89.0, 83.0, 80.0, 80.0, 73.0, 70.0, 42.0]",7,73.85714285714286
Nintendo DS,007: Quantum of Solace,"Activision Publishing, Inc.","Vicarious Visions, Inc.","Nov 04, 2008",Action,"Behind view, Diagonal-down",2D scrolling,,"Beat 'em up / brawler, Shooter",,,0,,"[80.0, 70.0, 70.0, 70.0, 68.0, 67.0, 60.0, 58.0, 40.0]",9,64.77777777777777
Nintendo DS,1001 Touch Games,Selectsoft Publishing,Teyon S.A.,2011,"Puzzle, Strategy",,,,"Board game, Cards / tiles, Hidden object, Mini-games",,,0,,,0,
Nintendo DS,100 All-Time Favorites,"Ubisoft, Inc.",Ubisoft Entertainment India Pvt. Ltd. (Pune),"Oct 27, 2009","Gambling, Sports, Strategy",,,,"Board game, Cards / tiles, Chess",,,0,,,0,
Nintendo DS,100 Classic Games,rondomedia Marketing & Vertriebs GmbH,"cerasus.media GmbH, LvivMedia Ltd.","Mar 25, 2011",Compilation,,,,,,,0,,,0,
Nintendo DS,101-in-1 Explosive Megamix,"Atlus U.S.A., Inc.",Nordcurrent UAB,"Apr 21, 2009",Action,,Fixed / flip-screen,,Mini-games,,,0,,[16.0],1,16.0
Nintendo DS,101-in-1 Sports Megamix,"Atlus U.S.A., Inc.",Nordcurrent UAB,"Sep 07, 2010",Sports,,,,Mini-games,,,0,,,0,
Nintendo DS,12,Phoenix Games B.V.,"NorthPole Studio Co., Ltd.",2008,"Action, Compilation, Puzzle, Racing / Driving",Top-down,,,"Arcade, Mini-games",,,0,,[40.0],1,40.0
Nintendo DS,1500DS Spirits Vol. 10: Igo,"Tasuke Co.,Ltd.","Tasuke Co.,Ltd.","May 15, 2008",Strategy,,,,Board game,,,0,,,0,
Nintendo DS,1500DS Spirits Vol. 1: Mahjong,"Tasuke Co.,Ltd.","Tasuke Co.,Ltd.","Aug 09, 2007",Strategy,,,,Cards / tiles,,,0,,,0,
Nintendo DS,1500DS Spirits Vol. 2: Shogi,"Tasuke Co.,Ltd.","Tasuke Co.,Ltd.","Aug 09, 2007",Strategy,,,,Board game,,,0,,,0,
Nintendo DS,1500DS Spirits Vol. 5: Hanafuda,"Tasuke Co.,Ltd.","Tasuke Co.,Ltd.","Aug 09, 2007",Strategy,,,,Cards / tiles,,,0,,,0,
Nintendo DS,1500DS Spirits Vol. 6: Trump,"Tasuke Co.,Ltd.","Tasuke Co.,Ltd.","Nov 22, 2007",Strategy,,,,Cards / tiles,,,0,,,0,
