platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gameboy,2nd Space,Sachen,Sachen,1993,"Action, Puzzle",Top-down,Fixed / flip-screen,,Arcade,,,0,,,0,
Gameboy,4-in-1 Fun Pak,"Interplay Productions, Inc.","Beam Software Pty., Ltd.","Sep, 1992",Strategy,Top-down,Fixed / flip-screen,,"Board game, Chess",,,0,,"[68.0, 59.0, 50.0, 37.0]",4,53.5
Gameboy,4-in-1 Funpak: Volume II,"Interplay Productions, Inc.","Beam Software Pty., Ltd.","Aug, 1993",Strategy,,,,"Board game, Cards / tiles",,,0,,[40.0],1,40.0
Gameboy,The Addams Family: Pugsley's Scavenger Hunt,Ocean Software Ltd.,Enigma Variations Ltd.,"Jul, 1993",Action,Side view,2D scrolling,,Platform,,,0,,"[90.0, 85.0, 69.0, 62.0, 40.0]",5,69.2
Gameboy,The Addams Family,"Ocean of America, Inc.",Ocean Software Ltd.,"Jan, 1992",Action,Side view,2D scrolling,,Platform,,[5.0],1,5.0,"[81.0, 78.0, 77.0, 75.0, 70.0, 70.0, 65.0, 57.0, 50.0, 50.0]",10,67.3
Gameboy,Adventure Island 3,"Hudson Soft USA, Inc.","Hudson Soft Company, Ltd.","Feb, 1993",Action,Side view,,,"Arcade, Platform",,,0,,"[90.0, 84.0, 82.0, 71.0, 65.0, 55.0]",6,74.5
Gameboy,Adventure Island II,"Hudson Soft USA, Inc.","Hudson Soft Company, Ltd.","Feb, 1992",Action,Side view,2D scrolling,,"Arcade, Platform",,,0,,"[90.0, 80.0, 75.0, 71.0, 71.0, 70.0, 70.0, 68.0, 67.0, 62.0]",10,72.4
Gameboy,Adventures of Lolo ,"Imagineer Co., Ltd.","Dice Co., Ltd., HAL Laboratory, Inc.","Mar 25, 1994","Action, Puzzle",Diagonal-down,Fixed / flip-screen,,Arcade,,,0,,"[65.0, 64.0]",2,64.5
Gameboy,The Adventures of Rocky and Bullwinkle and Friends,THQ Inc.,Imagineering Inc.,1992,Action,Side view,,,Platform,,,0,,"[100.0, 60.0, 42.0, 37.0, 29.0]",5,53.6
Gameboy,The Adventures of Star Saver,Taito America Corporation,"A Wave, Inc.",1992,Action,Side view,2D scrolling,,Shooter,,,0,,"[70.0, 69.0, 64.0, 61.0, 55.0, 50.0]",6,61.5
Gameboy,Aerostar,"Vic Tokai, Inc.",Sigma Pro-Tech,1991,Action,Top-down,,,Shooter,,,0,,"[100.0, 83.0]",2,91.5
Gameboy,After Burst,Masaya,Klon,"Oct 26, 1990",Action,Side view,Fixed / flip-screen,,,,,0,,"[90.0, 59.0]",2,74.5
Gameboy,Alfred Chicken,"Mindscape, Inc.",Twilight,"Feb, 1994",Action,Side view,,,Platform,,,0,,"[85.0, 83.0, 80.0, 77.0, 74.0, 72.0, 65.0]",7,76.57142857142857
Gameboy,Alien³,"LJN, Ltd.","B.I.T.S., Ltd.","Jan, 1993",Action,Top-down,,,Puzzle elements,,[3.0],1,3.0,"[90.0, 90.0, 83.0, 82.0, 80.0, 55.0, 55.0, 48.0, 42.0, 30.0]",10,65.5
Gameboy,Alien Olympics,Ocean Software Ltd.,Dark Technologies,"Sep, 1994","Action, Sports",3rd-person (Other),,,,,,0,,"[83.0, 82.0, 76.0, 71.0]",4,78.0
Gameboy,Alien vs Predator: The Last of His Clan,"Activision, Inc.",,"Nov, 1993",Action,Side view,,,,,,0,,"[90.0, 60.0, 49.0, 42.0, 40.0, 35.0, 25.0]",7,48.71428571428572
Gameboy,Alleyway,"Nintendo Co., Ltd.","Intelligent Systems Co., Ltd., Nintendo R&D1","Aug, 1989",Action,,,,"Arcade, Paddle / Pong",,"[4.75, 2.25]",2,3.5,"[80.0, 75.0, 70.0, 53.0, 50.0, 50.0, 48.0, 48.0, 33.0, 30.0]",10,53.7
Gameboy,All-Star Baseball 99,"Acclaim Entertainment, Inc.",Realtime Associates Seattle Division,"May, 1998","Simulation, Sports","3rd-person (Other), Diagonal-down",Isometric,,,,,0,,,0,
Gameboy,Altered Space: A 3-D Alien Adventure,Sony Imagesoft,Software Creations Ltd.,"Sep, 1991",Action,Diagonal-down,Isometric,,Puzzle elements,,,0,,"[84.0, 80.0, 75.0, 62.0, 58.0]",5,71.8
Gameboy,Amazing Penguin,"Natsume, Inc.","Natsume Co., Ltd.","Dec, 1990",Action,Diagonal-down,Fixed / flip-screen,,Arcade,,,0,,"[90.0, 83.0, 64.0, 56.0, 42.0]",5,67.0
Gameboy,The Amazing Spider-Man,"LJN, Ltd.",Rare Limited,"Jul, 1990",Action,Side view,2D scrolling,,,,"[3.8, 3.6, 4.0]",3,3.8,"[85.0, 75.0, 72.0, 70.0, 68.0, 67.0, 60.0, 53.0, 50.0, 25.0]",10,62.5
Gameboy,Amazing Tater,Atlus Software Inc.,"Atlus Co., Ltd.",1991,Puzzle,Top-down,Fixed / flip-screen,,,,,0,,"[86.0, 83.0, 82.0, 75.0, 73.0]",5,79.8
Gameboy,Amida,"Coconuts Japan Entertainment Co., Ltd.",Sofix Corporation,"Oct 23, 1990","Action, Puzzle",Side view,,,Arcade,,,0,,,0,
Gameboy,Animaniacs,"Konami (America), Inc.","Konami Co., Ltd.","Jul, 1995",Action,Side view,2D scrolling,,Puzzle elements,,,0,,"[82.0, 80.0, 79.0, 79.0, 79.0, 70.0, 70.0, 65.0, 50.0, 47.0]",10,70.1
Gameboy,Another Bible,"Atlus Co., Ltd.","Dice Co., Ltd.","Mar 02, 1995","Role-playing (RPG), Strategy",Top-down,,Anime / Manga,,,,0,,,0,
Gameboy,Arcade Classic 1: Asteroids / Missile Command,Nintendo of America Inc.,"Atari, Inc.","Jul, 1995","Action, Compilation",,,,Shooter,,,0,,"[84.0, 80.0, 80.0, 75.0, 55.0]",5,74.8
Gameboy,Arcade Classic 2: Centipede / Millipede,Nintendo of America Inc.,"Atari, Inc.",1995,"Action, Compilation",Side view,,,"Arcade, Shooter",,,0,,"[90.0, 80.0, 74.0, 50.0, 50.0, 23.0]",6,61.16666666666666
Gameboy,Arcade Classic 3: Galaga / Galaxian,Nintendo of America Inc.,Namco Limited,1995,"Action, Compilation",Top-down,,,"Arcade, Shooter",,,0,,"[90.0, 80.0, 80.0, 77.0, 70.0, 65.0]",6,77.0
Gameboy,Arcade Classic 4: Defender/Joust,Nintendo of America Inc.,"Williams Electronics, Inc.",1995,"Action, Compilation",,,,"Arcade, Platform",,,0,,"[83.0, 80.0, 80.0, 49.0]",4,73.0
Gameboy,Arcade Classics: Battlezone/Super Breakout,Black Pearl Software,Atari Corporation,1996,"Action, Compilation",,,,"Arcade, Paddle / Pong",,,0,,"[50.0, 42.0, 20.0]",3,37.333333333333336
Gameboy,Aretha,Yanoman Corporation,"Japan Art Media Co., Ltd.","Nov 16, 1990",Role-playing (RPG),Top-down,,,Japanese-style RPG (JRPG),,,0,,,0,
