platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
SNES,16-Bit Collection: Athena Vol. 1,Retro-Bit,,"Feb 28, 2018",Compilation,,,,,,,0,,,0,
SNES,16-Bit Collection: Culture Brain Vol. 1,Retro-Bit,Culture Brain Inc.,"Sep 30, 2017",Compilation,,,,Fighting,,,0,,,0,
SNES,16-Bit Collection: Culture Brain Vol. 2,Retro-Bit,Culture Brain Inc.,"Sep 30, 2017",Compilation,,,,Fighting,,,0,,,0,
SNES,16-Bit Collection: Culture Brain Vol. 3,Retro-Bit,Culture Brain Inc.,"Sep 30, 2017",Compilation,,,,,,,0,,,0,
SNES,16-Bit Collection: Data East Vol. 1,Retro-Bit,"Data East Corporation, Russ, Ltd.","Sep 30, 2017","Action, Compilation, Puzzle",Side view,"2D scrolling, Fixed / flip-screen",Anime / Manga,"Arcade, Board game, Fighting, Platform, Tile matching puzzle",,,0,,,0,
SNES,16-Bit Collection: Data East Vol. 2,Retro-Bit,,"Sep 30, 2017",Compilation,,,,,,,0,,,0,
SNES,16-Bit Collection: Data East Vol. 3,Retro-Bit,,"Sep 30, 2017",Compilation,,,,,,,0,,,0,
SNES,16-Bit Collection: Jaleco Vol. 1,Retro-Bit,Jaleco Ltd.,"Sep 30, 2017",Compilation,,,,,,,0,,,0,
SNES,3 Ninjas Kick Back,Sony Imagesoft,Malibu Interactive,"Nov, 1994",Action,Side view,2D scrolling,,Platform,,,0,,"[60.0, 55.0, 50.0, 50.0, 40.0]",5,51.0
SNES,3x3 Eyes: Jūma Hōkan,"Banpresto Co., Ltd.","Now Production Co., Ltd., System Supply N‑Tech","Dec 22, 1995",Action,Side view,2D scrolling,Anime / Manga,Puzzle elements,,,0,,,0,
SNES,3x3 Eyes: Seima Kōrinden,Yutaka,"Nova Co., Ltd.","Jul 28, 1992",Role-playing (RPG),"1st-person, Top-down",,Anime / Manga,,,,0,,,0,
SNES,The 7th Saga,Enix America Corporation,"Produce Co., Ltd.","Sep, 1993",Role-playing (RPG),Diagonal-down,2D scrolling,Anime / Manga,,,[2.5],1,2.5,"[90.0, 85.0, 80.0, 70.0, 68.0, 65.0, 62.0, 60.0, 40.0, 30.0]",10,65.0
SNES,90 Minutes: European Prime Goal,Namco Limited,Namco Limited,"Aug 04, 1995",Sports,Diagonal-down,2D scrolling,,,,,0,,"[81.0, 70.0, 60.0, 55.0, 55.0]",5,64.2
SNES,ABC Monday Night Football,"Data East USA, Inc.","Data East Corporation, Kuusoukagaku Corp.","Dec, 1993",Sports,Diagonal-down,,,,,,0,,"[55.0, 43.0, 20.0]",3,39.333333333333336
SNES,Accele Brid,"Tomy Company, Ltd.","Genki Co., Ltd.","Nov 26, 1993",Action,Behind view,,,"Arcade, Shooter",,,0,,[38.0],1,38.0
SNES,ACME Animation Factory,Sun Corporation of America,Probe Software Ltd.,1994,Educational,,,,Cards / tiles,,,0,,"[80.0, 69.0, 57.0, 55.0, 45.0]",5,61.2
SNES,Acrobat Mission,"Teichiku Co., LTD.","UPL Co., Ltd","Sep 11, 1992",Action,Top-down,2D scrolling,,"Arcade, Shooter",,,0,,"[75.0, 65.0, 60.0, 47.0, 37.0]",5,56.8
