platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Switch,0000,Ratalaika Games S.L.,Alvarop Games,"Feb 07, 2020",Action,Side view,Fixed / flip-screen,,"Arcade, Platform",,,0,,,0,
Switch,0 Degrees,Eastasiasoft Limited,Nerd Games,"May 19, 2021",Action,Side view,2D scrolling,,"Platform, Puzzle elements",,,0,,,0,
Switch,1001 Ultimate Mahjong 2,Nawia Games Sp. z o.o.,Nawia Games Sp. z o.o.,"Oct 25, 2018",Puzzle,Top-down,Fixed / flip-screen,,"Cards / tiles, Mental training, Tile matching puzzle",,,0,,,0,
Switch,103,Dystopia Interactive,Dystopia Interactive,"Oct 02, 2020",Adventure,1st-person,,,,,,0,,,0,
Switch,10 Second Ninja X,Thalamus Digital Publishing Ltd.,Four Circle Interactive Ltd,"Jul 30, 2021",Action,Side view,2D scrolling,,"Arcade, Platform",,,0,,[80.0],1,80.0
Switch,10 Second Run,"Blue Print Inc, KaeruPanda Inc.","G-mode Co., Ltd.","Jan 25, 2018",Action,Side view,,,Platform,,,0,,[80.0],1,80.0
Switch,10-Yard Fight,HAMSTER Corporation,Irem Corp.,"May 02, 2018",Sports,Top-down,,,,,,0,,[60.0],1,60.0
Switch,112 Operator,SONKA S.A.,Jutsu Games Sp z o.o.,"Jul 23, 2021",Simulation,"1st-person, Text-based / Spreadsheet",,,,,,0,,,0,
Switch,112th Seed,Eastasiasoft Limited,"Nerd Games, Slider Games","Aug 06, 2020",Action,Side view,2D scrolling,,"Platform, Puzzle elements",,,0,,,0,
Switch,12 is Better Than 6,"HypeTrain Digital, LLC",Ink Stains Games,"Mar 05, 2019",Action,Top-down,2D scrolling,,"Shooter, Stealth",,,0,,"[80.0, 80.0, 75.0, 75.0, 50.0, 40.0, 20.0]",7,60.0
Switch,12 Labours of Hercules,JetDogs Studios Oy,"JetDogs Studios Oy, Zoom Out Games","Mar 24, 2019",Strategy,Diagonal-down,,,Time management,,,0,,,0,
Switch,12 Labours of Hercules III: Girl Power,JetDogs Studios Oy,"JetDogs Studios Oy, Zoom Out Games","Jan 15, 2021",Strategy,Diagonal-down,,,Time management,,,0,,,0,
Switch,12 Labours of Hercules II: The Cretan Bull,JetDogs Studios Oy,"JetDogs Studios Oy, Zoom Out Games","Apr 06, 2020",Strategy,Diagonal-down,,,Time management,,,0,,,0,
Switch,12 Labours of Hercules IV: Mother Nature,JetDogs Studios Oy,"JetDogs Studios Oy, Zoom Out Games","Aug 31, 2021",Strategy,Diagonal-down,,,Time management,,,0,,,0,
Switch,12 Labours of Hercules V: Kids of Hellas,JetDogs Studios Oy,"JetDogs Studios Oy, Zoom Out Games","Mar 02, 2022",Strategy,Diagonal-down,,,Time management,,,0,,,0,
Switch,12 orbits,,,"Apr 27, 2018",Action,Top-down,Fixed / flip-screen,,Party game,,,0,,"[75.0, 70.0, 70.0, 70.0, 60.0, 60.0, 60.0, 58.0, 50.0]",9,63.666666666666664
Switch,1-2-Switch,Nintendo of America Inc.,Nintendo EPD,"Mar 03, 2017",Action,"1st-person, Audio game",,,"Mini-games, Party game",,[3.2],1,3.2,"[70.0, 60.0, 60.0, 56.0, 55.0, 45.0, 43.0, 40.0, 40.0, 16.0]",10,48.5
Switch,13 Sentinels: Aegis Rim,"SEGA of America, Inc.",Vanillaware Ltd.,"Apr 12, 2022","Adventure, Strategy","Diagonal-down, Side view",2D scrolling,Anime / Manga,"Graphic adventure, Puzzle elements, RPG elements",,,0,,"[100.0, 92.0, 90.0]",3,94.0
Switch,140,Carlsen Games,Carlsen Games,"Jan 09, 2020",Action,Side view,2D scrolling,,"Music / rhythm, Platform, Puzzle elements",,,0,,[70.0],1,70.0
Switch,15 in 1 Solitaire,Silesia Games Sp. z o.o.,Inlogic Software s.r.o.,"Feb 24, 2022",Puzzle,Top-down,Fixed / flip-screen,,Cards / tiles,,,0,,,0,
Switch,16-Bit Soccer,Sprakelsoft GmbH,Sprakelsoft GmbH,"Jan 14, 2021",Sports,Top-down,2D scrolling,,,,,0,,,0,
