platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Wii,007: Quantum of Solace,"Activision Publishing, Inc.",Treyarch Corporation,"Nov 04, 2008",Action,"1st-person, Behind view",,,"Quick Time Events (QTEs), Shooter, Stealth",,,0,,"[70.0, 70.0, 65.0, 60.0, 60.0, 57.0, 55.0, 54.0, 45.0, 40.0]",10,57.6
Wii,"The $1,000,000 Pyramid","Ubisoft, Inc.","Ludia, Inc.","Mar 08, 2011",Simulation,3rd-person (Other),,,Game show / trivia / quiz,,,0,,[73.0],1,73.0
Wii,101-in-1 Explosive Megamix,Nordcurrent UAB,Nordcurrent UAB,"Oct 13, 2011",Action,,Fixed / flip-screen,,Mini-games,,,0,,[30.0],1,30.0
Wii,101-in-1 Party Megamix,"Atlus Co., Ltd.",Nordcurrent UAB,"Oct 20, 2009",Action,,,,Mini-games,,,0,,,0,
Wii,101-in-1 Sports Party Megamix,"Atlus U.S.A., Inc.",Nordcurrent UAB,"Jan 11, 2011",Sports,,,,Mini-games,,,0,,[10.0],1,10.0
Wii,1080° Snowboarding,Nintendo of America Inc.,Nintendo EAD,"Jan 28, 2008",Sports,"1st-person, Behind view",,,,,,0,,"[91.0, 85.0, 82.0, 80.0, 80.0, 80.0, 80.0, 52.0]",8,78.75
Wii,10 Minute Solution,"Activision Value Publishing, Inc.","Seamless Entertainment, Inc.","Jun 29, 2010","Simulation, Sports",3rd-person (Other),,,,,,0,,,0,
Wii,1+1 Bonus Pack,"Adventure Company, The",,2009,Compilation,,,,,,,0,,,0,
Wii,1912: Titanic Mystery,Purple Hills,Joindots GmbH,2010,Puzzle,1st-person,,,Hidden object,,,0,,,0,
Wii,1942,"Capcom Co., Ltd.","Capcom Co., Ltd.","Dec 21, 2010",Action,Top-down,2D scrolling,,"Arcade, Shooter",,,0,,"[67.0, 50.0]",2,58.5
Wii,2010 FIFA World Cup South Africa,"Electronic Arts, Inc.","Electronic Arts Canada, HB Studios Multimedia Ltd.","Apr 27, 2010",Sports,Diagonal-down,2D scrolling,,,,,0,,"[75.0, 70.0, 70.0, 68.0, 60.0]",5,68.6
Wii,250 Mannin no Kanken: Wii de Tokoton Kanji Nou,"IE Institute Co., Ltd.","IE Institute Co., Ltd.","Jul 31, 2008",Educational,Text-based / Spreadsheet,,,,,,0,,,0,
Wii,2 Fast 4 Gnomz,QubicGames S.A.,QubicGames S.A.,"Feb 23, 2012",Action,Side view,,,Platform,,,0,,[60.0],1,60.0
Wii,2 for one 1 Power Pack: Indianapolis 500 Legends / WWII Aces,Destineer,,"Jan 06, 2010",Compilation,,,,,,,0,,,0,
Wii,2 for one 1 Power Pack: Kawasaki Jet Ski / Summer Sports 2: Island Sports Party,Destineer,,"Jan 06, 2010",Compilation,,,,,,,0,,,0,
Wii,2 for one 1 Power Pack: Winter Blast: 9 Snow & Ice Games / Summer Sports 2: Island Sports Party,Destineer,,2010,Compilation,,,,,,,0,,,0,
Wii,2in1: Meine Tierpension / Meine Tiersprechstunde,TREVA Entertainment GmbH,,"Oct 07, 2014",Compilation,,,,,,,0,,,0,
Wii,"3-2-1, Rattle Battle!","Tecmo, Inc.","Tecmo, Inc.","Aug 31, 2009",Action,,,,"Mini-games, Party game",,,0,,"[40.0, 40.0]",2,40.0
Wii,3°C,Kemco,COOL&WARM Inc.,"May 26, 2009",Puzzle,Side view,Fixed / flip-screen,,"Falling block puzzle, Tile matching puzzle",,,0,,,0,
Wii,3 Count Bout,"D4 Enterprise, Inc.",SNK Corporation,"May 17, 2011","Action, Sports",Side view,2D scrolling,,Fighting,,,0,,,0,
Wii,3D Pixel Racing,Microforum Inc.,VIDIA S.R.L.,"Jul 14, 2011",Racing / Driving,Behind view,,,,,,0,,[40.0],1,40.0
Wii,428: Shibuya Scramble,"SEGA Games Co., Ltd.","Chunsoft Co., Ltd.","Dec 04, 2008",Adventure,"3rd-person (Other), Text-based / Spreadsheet",,,Visual novel,,,0,,,0,
Wii,4 in 1 Racing Wheel Pack,Nordic Games Publishing AB,,"May 19, 2010",Compilation,,,,,,,0,,,0,
Wii,5 Arcade Gems,Nordcurrent UAB,Ivolgamus UAB,"Apr 26, 2010","Action, Compilation",,,,Mini-games,,,0,,[30.0],1,30.0
Wii,5 in 1 Solitaire,Digital Leisure Inc.,Digital Leisure Inc.,"Feb 01, 2010",Puzzle,Top-down,Fixed / flip-screen,,Cards / tiles,,,0,,[40.0],1,40.0
Wii,5 Spots Party,Cosmonaut Games,"Cosmonaut Games, EnjoyUp Games S.L.","Jul 20, 2009",Puzzle,,Fixed / flip-screen,,Hidden object,,,0,,[60.0],1,60.0
Wii,ABBA You Can Dance,"Ubisoft, Inc.","Ubisoft Paris Studios SARL, Ubisoft SRL","Nov 15, 2011","Action, Simulation",,,,Music / rhythm,,,0,,[80.0],1,80.0
