platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Wii U,007: Legends,"Activision Publishing, Inc.",Eurocom Developments Ltd,"Dec 11, 2012",Action,1st-person,,,"Shooter, Stealth",,,0,,"[54.0, 42.0, 40.0, 40.0, 35.0, 30.0]",6,40.166666666666664
Wii U,1080° Snowboarding,Nintendo of America Inc.,Nintendo EAD,"Dec 31, 2015",Sports,"1st-person, Behind view",,,,,,0,,"[70.0, 60.0]",2,65.0
Wii U,140,"Double Fine Productions, Inc.",Carlsen Games,"Sep 01, 2016",Action,Side view,2D scrolling,,"Music / rhythm, Platform, Puzzle elements",,,0,,"[80.0, 60.0]",2,70.0
Wii U,153 Hand Video Poker,Skunk Software,Skunk Software,"Jun 02, 2016",Gambling,,,,Cards / tiles,,,0,,[10.0],1,10.0
Wii U,360 Breakout,nuGAME,nuGAME,"Aug 11, 2016",Action,Side view,,,"Arcade, Paddle / Pong",,,0,,,0,
Wii U,3Souls,Red Column,Red Column,"Jul 28, 2016","Action, Puzzle",Side view,2D scrolling,,Platform,,,0,,[74.0],1,74.0
Wii U,6180 the moon,Turtle Cream,"PokPoong Games, Turtle Cream","Feb 25, 2016",Action,Side view,2D scrolling,,Puzzle elements,,,0,,[90.0],1,90.0
Wii U,6-Hand Video Poker,Skunk Software,Skunk Software,"Mar 31, 2016",Gambling,1st-person,,,Cards / tiles,,,0,,[20.0],1,20.0
Wii U,8Bit Hero,"Righteous Weasel Games, LLC","Righteous Weasel Games, LLC","May 12, 2016",Action,Diagonal-down,2D scrolling,,Hack and slash,,,0,,[50.0],1,50.0
Wii U,99Moves,EnjoyUp Games S.L.,EnjoyUp Games S.L.,"Dec 18, 2014",Action,Top-down,2D scrolling,,,,,0,,"[60.0, 50.0]",2,55.0
Wii U,99Seconds,EnjoyUp Games S.L.,EnjoyUp Games S.L.,"Oct 02, 2014",Action,Side view,Fixed / flip-screen,,Arcade,,,0,,"[60.0, 60.0]",2,60.0
Wii U,Aban Hawkins & the 1001 Spikes: The Temple of the Dead Mourns the Living,"Nicalis, Inc.","8bits fanatics, Nicalis, Inc.","Jun 03, 2014",Action,Side view,,,"Arcade, Platform",,,0,,"[95.0, 90.0, 82.0, 80.0, 80.0, 80.0]",6,84.5
Wii U,Absolutely Unstoppable MineRun,Shy Egg Games,Shy Egg Games,"Apr 27, 2017",Action,Side view,2D scrolling,,"Arcade, Platform",,,0,,[30.0],1,30.0
Wii U,Abyss,EnjoyUp Games S.L.,EnjoyUp Games S.L.,"May 01, 2014",Action,Side view,2D scrolling,,,,,0,,"[70.0, 68.0]",2,69.0
Wii U,A.C.E.: Alien Cleanup Elite,Nitrolic Games,Nitrolic Games,"Mar 16, 2017",Action,Side view,2D scrolling,,"Platform, Shooter",,,0,,,0,
Wii U,Ace of Seafood,Nussoft,Nussoft,"Nov 30, 2016",Action,Behind view,,,Shooter,,,0,,,0,
Wii U,Act It Out!: A Game of Charades,Snap Finger Click Ltd,Snap Finger Click Ltd,"Oct 10, 2016",Simulation,,,,Board game,,,0,,,0,
Wii U,A Day at the Carnival,Thornbury Software LLC,Thornbury Software LLC,"Jul 06, 2017",Action,1st-person,,,Mini-games,,,0,,,0,
Wii U,Advance Wars,Nintendo of America Inc.,"Intelligent Systems Co., Ltd.","Apr 03, 2014",Strategy,Diagonal-down,,,Turn-based strategy,,,0,,"[90.0, 90.0, 90.0]",3,90.0
